Energy_eV,Cl,S,Zn
-6.935000000000044,50.47337277130005,270.5125148978807,325.45334360057603
-6.925000000000044,50.089702208710094,270.82683319422887,325.88520715801025
-6.9150000000000444,49.70228486265385,271.1537372340087,326.3306095707844
-6.905000000000045,49.31230364447289,271.50825757805734,326.80716230698164
-6.895000000000045,48.92094419804977,271.9040099436952,327.3306954689609
-6.885000000000045,48.52938407602198,272.3522705446911,327.91414191149016
-6.875000000000045,48.13880727246714,272.8613308022913,328.56676401963256
-6.8650000000000455,47.75042362815954,273.436113797625,329.2937034645098
-6.855000000000046,47.36547123497078,274.07800345314985,330.09579615228506
-6.845000000000046,46.98518327358879,274.7848213546076,330.9695745233724
-6.835000000000046,46.610708094616555,275.5508867533283,331.9073790717079
-6.825000000000046,46.24298144991146,276.3671109971854,332.8975186088164
-6.815000000000047,45.88256077671541,277.2211041254627,333.9244494058029
-6.805000000000047,45.52944135334797,278.09730242744865,334.9689796626707
-6.795000000000047,45.18288118532589,278.9771544019311,336.0085395529839
-6.785000000000047,44.84126433110007,279.8394222000715,337.0175806239705
-6.775000000000047,44.5020304220577,280.6606613520826,337.9681757259198
-6.765000000000048,44.16169155086179,281.4159309922509,338.8308790082716
-6.755000000000048,43.81594742991486,282.07976058542,339.5758755411159
-6.745000000000048,43.4598972839213,282.62736101193644,340.17440603850383
-6.735000000000048,43.08833419644742,283.03602390057426,340.6004010881752
-6.7250000000000485,42.69609646451437,283.2866108022646,340.83221000681203
-6.715000000000049,42.27844253451206,283.3650007313716,340.85427084027157
-6.705000000000049,41.831412381005066,283.26334705762287,340.65854756117517
-6.695000000000049,41.35213916084376,282.9809966256288,340.2455628567906
-6.685000000000049,40.839080343439235,282.52494617193054,339.6248811359989
-6.67500000000005,40.29214638999898,281.9097512827675,338.8149438447482
-6.66500000000005,39.71271610943795,281.156856215546,337.84222191983054
-6.65500000000005,39.10353954564787,280.29337193966,336.7397200314304
-6.64500000000005,38.46854019052269,279.35038704335244,335.54493505171627
-6.63500000000005,37.81253726631247,278.36094445154777,334.2974283149433
-6.625000000000051,37.140914967731064,277.35785042182334,333.03621079211143
-6.615000000000051,36.45926853163887,276.37149743143146,331.7971579547662
-6.605000000000051,35.77305686334508,275.4278782507563,330.610665501633
-6.595000000000051,35.08728858524309,274.54694609428077,329.4997298704209
-6.5850000000000515,34.40626340274379,273.74143871855443,328.4785926808014
-6.575000000000052,33.73338433038295,273.0162376650618,327.5520319021407
-6.565000000000052,33.071049322744784,272.36828327188005,326.71532152826944
-6.555000000000052,32.42062388241915,271.78701738358524,325.95482285847953
-6.545000000000052,31.782489835403965,271.25528399456186,325.2491203394729
-6.5350000000000525,31.156160109567757,270.7505872449641,324.57057803741617
-6.525000000000053,30.540445324939647,270.24658847734844,323.8871719034836
-6.515000000000053,29.933655471328365,269.7147198387909,323.1644485479683
-6.505000000000053,29.33381894336825,269.12579977980056,322.36747154659867
-6.495000000000053,28.738901636733885,268.4515528975918,321.462637872317
-6.485000000000054,28.147010485319868,267.6659591218365,320.41927524781886
-6.475000000000054,27.55656845793889,266.74638124758576,319.2109611315768
-6.465000000000054,26.966451305883407,265.6744417804467,317.8165313572907
-6.455000000000054,26.37607992176845,264.4366375709269,316.220768151941
-6.4450000000000545,25.78546572756231,263.0246928330124,314.4147721476113
-6.435000000000055,25.195209808101566,261.43565840427516,312.39603168423264
-6.425000000000055,24.606459374286995,259.67176921305344,310.1682072249751
-6.415000000000055,24.020827480971953,257.740075147534,307.74065185654865
-6.405000000000055,23.44028370038473,255.65186500097084,305.1276932691693
-6.3950000000000555,22.867024659243505,253.42191021741627,302.3477100066575
-6.385000000000056,22.303333993648117,251.0675648658637,299.42204537164037
-6.375000000000056,21.751441363309787,248.60776939677623,296.37381480664783
-6.365000000000056,21.213389693604196,246.06201604599505,293.22667426085866
