MO_Energy_eV,Cl-Hg,Cl-Se,Hg-Se
-8.714227590704365,0.04026938502919543,-0.0022446981737466467,-0.039968078631894395
-8.711985490061444,0.042468840760461445,-0.002382621030473954,-0.0408221728412644
-8.710074145872591,0.04411702936960847,-0.0024155167091005183,-0.04091828057418563
-8.708353249026256,0.02801286640977723,-0.0014188051400727843,-0.03300964773992945
-8.707146484726197,0.04342616446185717,-0.002601132494252305,-0.045095370577367976
-8.705623854535057,0.042378086739351783,-0.00235550799586633,-0.03736150584964693
-8.704941002906509,0.03761228161013855,-0.0020528380966555217,-0.04181156123555529
-8.701892743355023,0.02865128032242869,-0.0015439487818740267,-0.03601998308870005
-8.698907417305561,0.03659183695651761,-0.0021064287665428956,-0.035515062501232895
-8.695942894165926,0.0451302956492982,-0.002510402168181406,-0.03485577356764656
-8.694972574793374,0.03261600712457601,-0.001661000171274228,-0.03367188606203878
-8.692479656531006,0.04190180415979092,-0.0021632997516434264,-0.03736368508329923
-8.691238011142179,0.03918967725689148,-0.0023247722031215687,-0.03888694741746782
-8.68592651117346,0.03932245265526643,-0.0019674624568432847,-0.0345195336329644
-8.682061598243848,0.03575150718449532,-0.0017608760518138921,-0.031384558848893226
-8.678409470982574,0.03578163206933224,-0.001852495696527105,-0.03464669849397001
-8.677664351710565,0.03942110870255393,-0.0020520653010556067,-0.03592445126135078
-8.675708105153198,0.0367206927447507,-0.0017821503314059482,-0.03520914266531967
-8.674724111983291,0.03856988316932398,-0.0016847754619229581,-0.029514740426289054
-8.67406563580471,0.04105891246240887,-0.002056639611337993,-0.03855356184080835
-8.671877511925716,0.037025636751599,-0.0019353950634107592,-0.035456768431503985
-8.669708999376,0.0377522052550119,-0.002077414182283682,-0.03741645273343195
-8.667678787486127,0.04265847858316912,-0.0019773407231141794,-0.033560989564061706
-8.664499403436281,0.03365620307594385,-0.0017350797163830432,-0.039767480783546895
-8.661461780978694,0.036218313991741004,-0.0018876365061628736,-0.03849654463042286
-8.659750591066022,0.027694434110272496,-0.0016638651875083572,-0.044472503638842475
-8.655105249548797,0.03252118074008072,-0.0016970002929035312,-0.03657112201811708
-8.65250442455446,0.025165416715134264,-0.0014147138970239434,-0.03872567018499603
-8.65132637971214,0.030989499771261655,-0.0016022978370795588,-0.03725765323649368
-8.649792138161663,0.03139828464226547,-0.0015932858941376542,-0.03862449351474624
-8.64728810894327,0.03219451687993086,-0.0016107342211833886,-0.03837638534773259
-8.645806028480461,0.035049800986749854,-0.0017076462896047362,-0.041284000225386135
-8.642781071020302,0.03179210897887424,-0.0018675392877258294,-0.042637130802017954
-8.639284723921133,0.035729354315218405,-0.0018558783652993893,-0.04290276269166376
-8.636929187809331,0.035786312720598484,-0.0018851747093993267,-0.04139337394988633
-8.632936710726677,0.03200853866966308,-0.0016966146314472596,-0.04173074062675789
-8.630058347781292,0.03762607042942509,-0.0021285046276472487,-0.044890103911533176
-8.627443994919876,0.0453959532434687,-0.0025136403238536337,-0.046906348712096854
-8.625667777166317,0.03733349775315146,-0.0021123462372280703,-0.04649038044463122
-8.622333434990784,0.036971860859768696,-0.002067331299256424,-0.04371602387450449
-8.622143244391852,0.03449340752974424,-0.00192297805982344,-0.04651865747490558
-8.618978738195164,0.04301701983952424,-0.002297864669421899,-0.04347303653105091
-8.614905563754368,0.034208985279648656,-0.0018728420865377472,-0.04589237936093404
-8.612806799530613,0.033169082509247536,-0.0018682965143774436,-0.043666355425721524
-8.608983843253654,0.032264155452322696,-0.0019136051003922022,-0.04622472098982897
-8.603980638776498,0.03912386225215846,-0.002230727517120857,-0.049171046608458405
-8.60135093138926,0.03795015324245673,-0.0022723925185530783,-0.052415419503288437
-8.599481271967377,0.045103542296295804,-0.0022150632530557237,-0.041017532925879466
-8.597894870654544,0.03136808704444262,-0.0016851112978128588,-0.05172225319165058
-8.595763433040013,0.03331178099224453,-0.0021025388396149853,-0.05553874366562143
-8.594020734167767,0.030751535127349346,-0.0016664598852918272,-0.05090646105352393
-8.592633293175655,0.025773351160836025,-0.0013369003513278876,-0.05220126706645993
-8.587546988731297,0.026177971955319086,-0.0014846371119323323,-0.053231442628280154
-8.587065983502166,0.021926734516617318,-0.001215637689137078,-0.052544616799928716
-8.586346668790172,0.020213897910300514,-0.0012204757770164943,-0.05694060352312165
-8.584831482608381,0.02998993602736349,-0.0017385226971538001,-0.05290714771487861
-8.584289933098006,0.025730297569919645,-0.0015583573652197629,-0.05851059872714151
-8.576367494631409,0.03714702076121873,-0.002457996050685068,-0.059865844795352015
-8.573324127030864,0.03304552603894964,-0.0018374861111568374,-0.05186902050394233
-8.57236839139322,0.03562741291527744,-0.0019318654978349307,-0.043668456590177394
-8.568498339504144,0.03756035205696681,-0.002015170048281614,-0.049474089065035906
-8.567104719710597,0.03440402012953841,-0.0017831245306603955,-0.04541023788484762
-8.562229791564564,0.03712097546484558,-0.0022950256664700215,-0.05653178314103661
-8.556907655825022,0.03329507598772106,-0.002093566760849982,-0.05329923093805829
-8.554065852273526,0.03388118255446914,-0.001814431525031895,-0.046807180032171346
-8.55174891670712,0.032091204998165354,-0.0018953058519217973,-0.046350151853854035
-8.549672261301948,0.03149150481489498,-0.002178170952088365,-0.058879849246040325
-8.544924217190564,0.028799244033010922,-0.0018875017721660036,-0.052504069744165265
-8.543281533930772,0.034502636351148544,-0.0024847674052009333,-0.06372027027374155
-8.538704764181817,0.038542127369368295,-0.0025048769628631543,-0.06219229941391355
-8.536897076444319,0.02914947091916772,-0.0019937330503643253,-0.06377025446427285
-8.535687563582286,0.037594247060139335,-0.002424398033079037,-0.06478730098030586
-8.533122738049485,0.038728411971599014,-0.0025789262945478007,-0.061424885171060685
-8.530514648640926,0.03479621151751305,-0.0024700109895218476,-0.07120392039750437
-8.528419335869135,0.03953920601288977,-0.002340798706304947,-0.055673714114311296
-8.527210065437716,0.038330517771967235,-0.0025819162302958823,-0.06612762368612198
-8.523604028438033,0.04265831724585479,-0.0025477386360582394,-0.06447796335250915
-8.521856197720783,0.03803065978581873,-0.002477399357921533,-0.0641494446986216
-8.519425764508837,0.031270055805283845,-0.0022415093820388424,-0.06222812650804636
-8.517469761439157,0.04268827195878791,-0.0029840693979045116,-0.07590698630225588
-8.516622553973747,0.03533423196556543,-0.0026103369344858025,-0.07681217613823638
