MO_Energy_eV,Cl-S,Cl-Zn,S-Zn
-7.05043460379989,-0.006705207338927536,0.0004511926154710188,0.10061778596466621
-7.043983811892538,-0.007381235963908803,0.003452963959762942,0.08715274227882727
-7.03086592319377,-0.009447341249031198,-0.0011594470575517248,0.11438122230747855
-7.016009462156296,-0.010048643749006728,0.005194524358774748,0.08321070889872756
-7.010282415994644,-0.011822944405451015,0.0030369940823588085,0.09175721824972843
-7.004618022478437,-0.007651503563613755,-0.00146300424374084,0.11826986286597704
-6.994557818709104,-0.007854191243396,-0.0004676242752835479,0.10006423156549238
-6.993785408279186,-0.009727247807134489,-0.00491430188942287,0.10384979888173744
-6.987008364281194,-0.011615955456957087,-0.0011405138474019296,0.09735107243466468
-6.9699662861027,-0.01027305737156045,0.0004093593524491631,0.09414841463975768
-6.965302993859628,-0.009871408816538942,-0.0017965280762609027,0.09648053514933862
-6.958687757902427,-0.008397124631328952,0.00041622553747535675,0.09811117252325767
-6.955875890563904,-0.009998344099231993,-0.0009578124635075088,0.09317570225815942
-6.945641996672635,-0.009788819694167013,-0.004960259082829426,0.10666828301682323
-6.943368178745844,-0.010838222027758452,-0.003426331176009672,0.10443658284469498
-6.9429274367866665,-0.007423462648767353,-0.0017001980500787636,0.09347199828461232
-6.928970676032503,-0.009154763269488672,-0.00016187438276538504,0.11280839276509491
-6.927407379417064,-0.011038143559586782,0.0033955345265023846,0.09029299240792252
-6.923234575575715,-0.006983884774119416,-0.0011660637516746133,0.10464045462835275
-6.915992952183564,-0.010403866847317988,0.0003902316420432243,0.10101384374947388
-6.909251434136573,-0.008926179295907966,-0.0020336252099256136,0.09817823811042362
-6.9066175873483315,-0.011037886801542636,0.0009819280294190973,0.096101704346016
-6.904000724075775,-0.009018827048324999,0.0014497698816857217,0.10151018161893623
-6.8959191571309715,-0.010613486581906834,7.032512877261775e-05,0.10020291024367176
-6.887577420340906,-0.014024219481530107,-0.000924309347936816,0.09698214330009233
-6.885715640989251,-0.009617640150454307,0.0017393192680128773,0.09666544665552346
-6.8840281807155295,-0.00936978851162939,0.0014095772676092834,0.09593171878112233
-6.872403077968094,-0.00978609779531226,0.0013675329664594657,0.0958859073167883
-6.870938361610491,-0.01700051271732063,-0.007011893917385726,0.09511979612130023
-6.8635821997440285,-0.011059630075602036,-0.00016009861030835072,0.10593152591651084
-6.861500128138559,-0.008148864359449668,0.0033917270266555894,0.10420077939803525
-6.855150620875668,-0.010849797802197362,2.9210250061178825e-05,0.09549589711332822
-6.8493840757229405,-0.008658216540575464,-0.0002828777759468659,0.1010149662114166
-6.846638264563822,-0.011744464809264823,0.0013433607698846947,0.09272084994318686
-6.840873923445196,-0.010616099344411486,0.0022945418928904003,0.09085153809552521
-6.835267176404441,-0.010884219739216468,0.0005511831449543182,0.09259454044917774
-6.8288278247881005,-0.011499615316092879,0.0017599083432489804,0.09490009436924914
-6.823726098772387,-0.012561578995432584,-0.00031484578934295874,0.09251653167416538
-6.820713539282978,-0.013787452595852165,-0.0024734857719930304,0.09641533381246911
-6.815298636581792,-0.012632727676780307,0.0007869259971995656,0.08793299405674929
-6.804586603474495,-0.009894131156109777,0.0001425610598244899,0.09299283443985863
-6.798365265236606,-0.010374678884539192,0.008534238983206004,0.08414787939895464
-6.7912592111906855,-0.011646073397885728,0.003940708249899021,0.09346751782075922
-6.787883595318045,-0.00863061784313842,0.002629632306407348,0.08998794463066283
-6.779288102125879,-0.010425816397984768,0.008605215331954737,0.07371864105033209
-6.7733005346933055,-0.01026362273702022,0.0037568171861665062,0.08670701684022818
-6.766496822613429,-0.009993469122835127,0.008230371348517913,0.07985250331249472
-6.760006102411859,-0.009996109659793037,0.005800416422354738,0.0901933840872726
-6.75368670595322,-0.010507297887713948,0.004082938133360451,0.0884812493630012
-6.7396019027486815,-0.013937609179495117,0.013486287583973883,0.05022098120759293
