Energy_eV,Cl,Hg,Se
-8.365000000000013,26.915920892414196,45.275462448119576,61.11976179660491
-8.355000000000015,27.224842311692157,46.012403241530095,62.23529592662587
-8.345000000000013,27.399521868407337,46.477021136489796,62.97115121369525
-8.335000000000015,27.461963918195284,46.68872219951996,63.34753229995609
-8.325000000000014,27.439524660363713,46.677346873996385,63.39895864608491
-8.315000000000015,27.36391031311347,46.4818592764064,63.17263987416678
-8.305000000000014,27.270022178692322,46.14868623563352,62.72632306048234
-8.295000000000016,27.194700680054115,45.729792505349764,62.1257275169518
-8.285000000000014,27.17542337653974,45.280591062480255,61.441707106358976
-8.275000000000016,27.249011843353756,44.857792710640865,60.747294191257815
-8.265000000000015,27.45039872259566,44.517296329350906,60.114780607888676
-8.255000000000017,27.811499187676517,44.31221014854037,59.612978967606985
-8.245000000000015,28.360221016874235,44.291076738264685,59.304783503807194
-8.235000000000017,29.119635560221948,44.4963524860266,59.24511690877641
-8.225000000000016,30.10731973885764,44.96316946945854,59.47931289328962
-8.215000000000018,31.33486874064833,45.71838731611113,60.04194894631362
-8.205000000000016,32.80757207574019,46.77992792297274,60.9561150318639
-8.195000000000018,34.5242434156689,48.156378757325186,62.23308549130965
-8.185000000000016,36.47719754268519,49.846851305865435,63.87235491295409
-8.175000000000018,38.65237501856519,51.84108876898963,65.8620034122371
-8.165000000000017,41.02962490904316,54.11982839298997,68.17936945800226
-8.155000000000019,43.5831651974829,56.655434833219395,70.79202403998366
-8.145000000000017,46.282246062567644,59.412827180821765,73.65905263467931
-8.13500000000002,49.092039867134844,62.35071979392052,76.73265540123457
-8.125000000000018,51.97477134695515,65.4231832820792,79.9600671590435
-8.11500000000002,54.89108154034651,68.58150647231164,83.28577538097679
-8.105000000000018,57.801590922678265,71.77630506084733,86.65397833213765
-8.09500000000002,60.668594533930964,74.95978256168996,90.01118154802273
-8.085000000000019,63.4577898297886,78.08801069449987,93.30878673932787
-8.07500000000002,66.13991265057135,81.12306703982422,96.50549207800644
-8.065000000000019,68.6921439704249,84.03485473965587,99.56930560967388
-8.055000000000021,71.09915440211243,86.80243746664183,102.4789811532715
