Energy_eV,Cd,Cl,S
-6.315000000000057,47.407761272609605,84.31557489312411,415.94436940899396
-6.3050000000000574,47.13728651591641,83.23216658407338,413.84459302794914
-6.295000000000058,46.85021752400105,82.12969333214352,411.6007248618426
-6.285000000000058,46.54993651582842,81.01243661234321,409.240396268308
-6.275000000000058,46.23898215603294,79.88371065441956,406.78519144280335
-6.265000000000058,45.919037003001755,78.7459244126162,404.25030868498675
-6.2550000000000585,45.590995472508574,77.60074947536704,401.6448687778511
-6.245000000000059,45.255093345719175,76.44935797089158,398.9727346434986
-6.235000000000059,44.91107427139544,75.2926871056112,396.23365684643994
-6.225000000000059,44.558366871173355,74.13168632572544,393.4245394971945
-6.215000000000059,44.19624799807016,72.96750906616336,390.54063192161874
-6.20500000000006,43.82397290936523,71.80162245806537,387.57648971431973
-6.19500000000006,43.44086062825317,70.6358232050852,384.5266071501921
-6.18500000000006,43.04633133084942,69.47216365015466,381.385691404876
-6.17500000000006,42.63990087226304,68.31280633883799,378.1486166681085
-6.16500000000006,42.22114434876443,67.15983601306633,374.81015280012275
-6.155000000000061,41.789644972070214,66.01506350374954,371.3646006987434
-6.145000000000061,41.34494600936492,64.87985587898268,367.80548032502793
-6.135000000000061,40.88652207916629,63.75502180458602,364.12540645665194
-6.125000000000061,40.413782078654116,62.64077153279172,360.316254422655
-6.1150000000000615,39.926110184703525,61.536758948488284,356.3696690435522
-6.105000000000062,39.422944663409496,60.44220060739113,352.2779124676698
-6.095000000000062,38.903887651100256,59.3560555593002,348.0349890552468
-6.085000000000062,38.3688335644176,58.27724147765194,343.6379359967417
-6.075000000000062,37.81810008850973,57.20485819036409,339.0881335763339
-6.065000000000063,37.25254422649772,56.13838947292204,334.39247328305896
-6.055000000000063,36.673646790842824,55.07785765009497,329.56422704205085
-6.045000000000063,36.083551779392124,54.02391236522226,324.62348567604175
-6.035000000000063,35.48505183543143,52.97784366675242,319.597075872362
-6.025000000000063,34.88151678113411,51.94151902198122,314.51791713730955
-6.015000000000064,34.276768287297294,50.91725272849847,309.42383711760374
-6.005000000000064,33.67490936652383,49.90762339809329,304.3559187050815
-5.995000000000064,33.080121932575395,48.91526001640874,299.35649957978615
-5.985000000000064,32.4964487203733,47.942619214233375,294.4669796297057
-5.9750000000000645,31.927577195175772,46.99177589677089,289.7256110516919
-5.965000000000065,31.37664270252705,46.06424666763546,285.16544876455976
-5.955000000000065,30.846066215594686,45.16086117465852,280.8126256437382
-5.945000000000065,30.337438944694785,44.28169130082946,276.68508999981043
-5.935000000000065,29.85146216724308,43.426042690616455,272.7919046155677
-5.9250000000000655,29.387946296212327,42.592507964877484,269.13316100269765
-5.915000000000066,28.945868767612705,41.779076470338794,265.7005129939963
-5.905000000000066,28.523486064188024,40.98329167472053,262.47828395790657
-5.895000000000066,28.11849131507169,40.20244435441872,259.4450552684251
-5.885000000000066,27.72820559280209,39.43378745956288,256.57560346999986
-5.875000000000067,27.349788431862223,38.674756929026636,253.84302293464626
-5.865000000000067,26.980451387461372,37.923181794623055,251.2208525260955
-5.855000000000067,26.61765782118396,37.17746679596898,248.68502118710262
-5.845000000000067,26.259292713306113,36.43673164779441,246.21543996522018
-5.8350000000000675,25.90378828111932,35.700893301031584,243.79709709436622
-5.825000000000068,25.5501945461221,34.97068118189823,241.42055706648176
-5.815000000000068,25.198188604695375,34.247580466597796,239.0818210273627
