Energy_eV,Cl,Se,Zn
-6.685000000000049,62.45183234547281,239.7272762632139,314.18392343693216
-6.67500000000005,61.904360274826395,240.44792061155596,315.21188098499937
-6.66500000000005,61.359995485027405,241.15246930412522,316.21649472755644
-6.65500000000005,60.81725170224186,241.82262751170398,317.17240308852485
-6.64500000000005,60.2750807039341,242.44264941075397,318.05757962748237
-6.63500000000005,59.7329755802389,243.00045669785985,318.854849089536
-6.625000000000051,59.19104912251995,243.48855431430522,319.5531268314551
-6.615000000000051,58.6500736067841,243.90465000434705,320.1482569513546
-6.605000000000051,58.11147107669232,244.25190856174027,320.6433582720267
-6.595000000000051,57.577248478459985,244.53880624552534,321.0486346902518
-6.5850000000000515,57.04987869267733,244.77859077842726,321.38066035391927
-6.575000000000052,56.53213536312359,244.98839149377267,321.6612024677465
-6.565000000000052,56.02689514544872,245.18805672574902,321.91568746360974
-6.555000000000052,55.536924580383044,245.39881700859405,322.17144396052186
-6.545000000000052,55.064669729579876,245.6418808663098,322.45586557881467
-6.5350000000000525,54.61206507555679,245.9370652833834,322.794628889396
-6.525000000000053,54.18037458254641,246.30154797023917,323.21008025001515
-6.515000000000053,53.77007318390327,246.7488074095902,323.7198757058408
-6.505000000000053,53.38077233134525,247.2877939916173,324.3359268196084
-6.495000000000053,53.011189470135825,247.92235531178508,325.06367772109246
-6.485000000000054,52.65915889078797,248.65092347028107,325.90171833822126
-6.475000000000054,52.321680407634155,249.46646268175633,326.8417266799272
-6.465000000000054,51.99500237976266,250.35667061912503,327.8687277495474
-6.455000000000054,51.67473611160248,251.3044243771379,328.96165501683697
-6.4450000000000545,51.35599898087976,252.28845901324297,330.0941985525127
-6.435000000000055,51.03358321712438,253.28426098344673,331.23591861859603
-6.425000000000055,50.70214586654294,254.26514922061162,332.3535928396423
-6.415000000000055,50.35641325940326,255.20350334303131,333.4127491337953
-6.405000000000055,49.99139069512315,256.0720831946775,334.37931737020426
-6.3950000000000555,49.60256572678226,256.845369291337,335.22131368315274
-6.385000000000056,49.18609203561354,257.5008428549747,335.9104565604716
-6.375000000000056,48.738940963671354,258.02011972614366,336.4236069566107
-6.365000000000056,48.25900956374664,258.38985639992285,336.7439283439902
-6.355000000000056,47.745177429196445,258.60235928719,336.8616777300874
-6.345000000000057,47.197309155725854,258.65584921427666,336.7745643246428
-6.335000000000057,46.61620439906051,258.5543600601144,336.4876461956106
-6.325000000000057,46.00350236365422,258.307280338529,336.01277317606696
-6.315000000000057,45.36155147401382,257.9285761055054,335.3676221674822
-6.3050000000000574,44.6932574064199,257.4357595172922,334.5744045574321
-6.295000000000058,44.00192332336536,256.84868687932203,333.6583510492001
-6.285000000000058,43.2910950780789,256.18828109964187,332.6460941100214
-6.275000000000058,42.564421632360904,255.47527508220531,331.56407108382444
-6.265000000000058,41.82553744726202,254.72906483818394,330.4370617846034
-6.2550000000000585,41.077969757280144,253.96674509828915,329.2869544771827
-6.245000000000059,40.32507002277035,253.20237806369065,328.13180619024513
-6.235000000000059,39.569965982917225,252.44652044549906,326.98523086887764
-6.225000000000059,38.81552895777313,251.70600831166018,325.85611606393377
-6.215000000000059,38.064350531795334,250.983976660872,324.74863976945096
-6.20500000000006,37.31872344763391,250.2800737728486,323.66253715766925
-6.19500000000006,36.58062321696773,249.59082103394954,322.59355467301066
-6.18500000000006,35.851689241995146,248.9100676745187,321.5340270142706
-6.17500000000006,35.133206681423616,248.22949589473933,320.4735200008362
-6.16500000000006,34.42609241984133,247.53914317357302,319.3994966217421
-6.155000000000061,33.730889897028746,246.82792223782212,318.2979809890628
-6.145000000000061,33.04777793020215,246.08413196395102,317.1542112897213
-6.135000000000061,32.37659788768314,245.29596144452833,315.95328435393674
-6.125000000000061,31.71690170505504,244.45199253215006,314.68079848909247
-6.1150000000000615,31.06802051731657,243.5417026830739,313.32349684475713
-6.105000000000062,30.429150510553132,242.55596069297957,311.8699018171209
-6.095000000000062,29.799449472634464,241.48749517565858,310.3109147049707
-6.085000000000062,29.178134971762493,240.3313025852386,308.64033809232353
-6.075000000000062,28.564573590475455,239.084951775615,306.8552658110422
-6.065000000000063,27.958350538618582,237.74873871447872,304.9562809284443
-6.055000000000063,27.3593104181753,236.32565018490808,302.94740879910603
-6.045000000000063,26.767562842842928,234.82110976439782,300.83579067056826
-6.035000000000063,26.18345071834341,233.24250198616906,298.6310722716041
-6.025000000000063,25.607483754146315,231.59849862731653,296.34453775319895
-6.015000000000064,25.040244552686087,229.89824052170417,293.9880571679084
-6.005000000000064,24.482278709483285,228.15045447525603,291.5729493615308
-5.995000000000064,23.933983115604732,226.36260314100537,289.10888578126225
-5.985000000000064,23.395507602400638,224.54017228579252,286.6029693894115
-5.9750000000000645,22.866683972309414,222.68619243563376,284.05911362419937
-5.965000000000065,22.3469933780577,220.80107007576453,281.4778186917923
-5.955000000000065,21.83557830387963,218.88276922962697,278.8563987016808
-5.945000000000065,21.33129967942791,216.92734123376994,276.1896581971621
-5.935000000000065,20.832833701280197,214.9297543735309,273.4709574912497
-5.9250000000000655,20.338797582379062,212.88493216852814,270.69355107629355
-5.915000000000066,19.847889456659605,210.78887591760105,267.852040430501
-5.905000000000066,19.359025605204657,208.6397290657999,264.94375876256163
-5.895000000000066,18.871458336404743,206.4386415855974,261.9699051983034
-5.885000000000066,18.38486022200806,204.19031284415928,258.93627095188936
-5.875000000000067,17.899364627724488,201.90312944073406,255.85344780534587
-5.865000000000067,17.41555798667367,199.58886555637548,252.73647389028184
-5.855000000000067,16.934425283818396,197.2619705850935,249.60394466961165
-5.845000000000067,16.457255931220793,194.93852411394965,246.47668791493547
-5.8350000000000675,15.985521859980453,192.6349835947504,243.37616007868337
-5.825000000000068,15.520742642336357,190.36687848775966,240.32275904551392
-5.815000000000068,15.064353436018175,188.14761184074666,237.3342590707329
-5.805000000000068,14.617590445331514,185.98751492706452,234.4245559759356
-5.795000000000068,14.181405637214183,183.8932648354085,231.6028668570882
-5.7850000000000685,13.756418100469865,181.86772400247366,228.87346507176954
-5.775000000000069,13.342904334587272,179.9102021007239,226.23595743145762
-5.765000000000069,12.94082462722257,178.0170830155012,223.6860370986694
-5.755000000000069,12.549878233978243,176.18271118717098,221.21658320800526
-5.745000000000069,12.169576900029782,174.4003991393559,218.81893538402537
-5.73500000000007,11.79932475050488,172.6634058242799,216.48415370396194
-5.72500000000007,11.438492863813721,170.9657446737695,214.2040840074447
-5.71500000000007,11.086478801276042,169.30270900360102,211.9720826163463
-5.70500000000007,10.742744627359974,167.6710460330757,209.7833078922197
-5.6950000000000705,10.4068309665664,166.06876271002523,207.6345505716534
-5.685000000000071,10.078348761240246,164.49459936957277,205.52364124740026
-5.675000000000071,9.756953983092544,162.9472538178888,203.44853264535737
-5.665000000000071,9.442313079746809,161.42447272707128,201.40619882895453
-5.655000000000071,9.134068061261864,159.92214518941654,199.3915178393484
-5.6450000000000715,8.831809738441818,158.43353319217286,197.39630615946533
-5.635000000000072,8.535065844869756,156.94875634588766,195.4086534234296
-5.625000000000072,8.243307949559306,155.45461631826547,193.41266739895528
