Energy_eV,Cl,Hg,S
-3.275000000000122,0.19762863514863394,2.001838727454746,3.5431199872291996
-3.2650000000001222,0.1769085187963403,1.7919526946590667,3.171547347712165
-3.2550000000001225,0.1559714463397428,1.5798653664335052,2.7960310159444544
-3.2450000000001227,0.13548766086285385,1.3723635228871367,2.428557441455566
-3.235000000000123,0.11604156322367092,1.175363130629519,2.0795594038884184
-3.225000000000123,0.09811758394635293,0.9937656397103479,1.757656941201518
-3.2150000000001233,0.08209813289527679,0.8314364126644461,1.4696132174700183
-3.2050000000001235,0.06827274766050356,0.6912963432453068,1.2204894530795114
-3.1950000000001237,0.05685657691311774,0.5755077590599259,1.0139655484059746
-3.185000000000124,0.04801561848933649,0.48572846651152235,0.8527804360002957
-3.175000000000124,0.04189569180563775,0.4234033738885039,0.7392386495627916
-3.1650000000001244,0.038651930827274555,0.3900612214613325,0.6757265638414498
-3.1550000000001246,0.03847558871384868,0.3875840645919688,0.6651823417945371
-3.145000000000125,0.04161510152831565,0.4184188184202772,0.7114669308724666
-3.135000000000125,0.04838863783589051,0.48570308758166547,0.8195888948858332
-3.1250000000001252,0.0591857638197583,0.5932816612000983,0.9957433519403851
-3.1150000000001254,0.07445640780082936,0.745595720050012,1.2471351987200723
-3.1050000000001257,0.0946860588185881,0.9474344159802619,1.5815698298602756
-3.095000000000126,0.12035712357094305,1.2035484526755074,2.006811379184638
-3.085000000000126,0.15189760983075293,1.5181377605073325,2.5297293567581343
-3.0750000000001263,0.1896197671254626,1.89423995102437,3.1552788439726482
-3.0650000000001265,0.2336528944142939,2.333061925009426,3.885385444057492
-3.0550000000001267,0.28387604602683647,2.833312054649395,4.7178311024809965
-3.045000000000127,0.3398575991910143,3.390602454696008,5.645256888954623
-3.035000000000127,0.4008093290762759,3.9969974214728308,6.654409598925145
-3.0250000000001274,0.4655625275588279,4.640782757280673,7.725756616741608
-3.0150000000001276,0.5325726270887392,5.306519725445723,8.833575090882634
-3.005000000000128,0.5999566989534917,5.9754263214444165,9.946586319005554
-2.995000000000128,0.6655651910068558,6.626098489318058,11.029156148789045
-2.985000000000128,0.7270856279716714,7.2355476301454305,12.043021783168038
-2.9750000000001284,0.7821721418640047,7.780492486709293,12.949441702425057
-2.9650000000001286,0.8285911526353947,8.238808441400167,13.711607124549033
-2.955000000000129,0.8643708204581237,8.591010791969397,14.297109431259734
-2.945000000000129,0.8879405085425989,8.821635276957673,14.680235943470695
-2.9350000000001293,0.8982467344588612,8.920381984684887,14.843871275211526
-2.9250000000001295,0.8948340257412308,8.882908490111571,14.780814369644403
-2.9150000000001297,0.8778825515615319,8.711192755747135,14.494379105630287
-2.90500000000013,0.8481989546029274,8.413431753146149,13.998221972138012
-2.89500000000013,0.8071618536771851,8.003491887281985,13.315423714212667
-2.8850000000001303,0.7566283405873113,7.499975296012153,12.476931677071207
-2.8750000000001306,0.6988117931630444,6.925005402327172,11.519534926525496
-2.8650000000001308,0.6361439425018898,6.3028605196848595,10.483586468925386
-2.855000000000131,0.5711350536500751,5.6585928080727035,9.410700987550538
-2.845000000000131,0.5062452502515125,5.016760975486455,8.341641682475222
-2.8350000000001314,0.4437776344504844,4.400380867887401,7.314569476104553
-2.8250000000001316,0.38580033187661966,3.8301626111131593,6.363768892161688
-2.815000000000132,0.3341004688747859,3.324061690043626,5.51889636612947
-2.805000000000132,0.2901689481648996,2.8971301098757203,4.804728301437305
-2.7950000000001323,0.2552112665739685,2.5616179518261384,4.24132676397817
-2.7850000000001325,0.23017693420153984,2.3272494125195653,3.8444972708422576
-2.7750000000001327,0.21579856691460886,2.201583392293665,3.6263899525590233
-2.765000000000133,0.2126315155509358,2.190367692358875,3.5960937799751744
-2.755000000000133,0.22108588247553174,2.2978070429157733,3.760092097754609
-2.7450000000001333,0.24144474134001453,2.5266862822505862,4.122482657307243
-2.7350000000001335,0.2738650083397119,2.8783178321925504,4.684911340209917
-2.7250000000001338,0.31836035474556035,3.352313428967296,5.44621958788291
-2.715000000000134,0.37476843844645524,3.946210035834557,6.401854841401182
-2.705000000000134,0.4427072372642471,4.655005449012116,7.543135197732852
-2.6950000000001344,0.521527122887959,5.470677410754061,8.856489229175574
-2.6850000000001346,0.6102663410522015,6.381769066848489,10.322806232374184
-2.675000000000135,0.7076176798977583,7.373122445263246,11.91702963746772
-2.665000000000135,0.8119133361956548,8.425830559554182,13.608107443099417
-2.6550000000001353,0.9211334463081092,9.517459163956255,15.359380767022476
-2.6450000000001355,1.032941631464317,10.622563477292326,17.129448924981233
-2.6350000000001357,1.1447484612902639,11.713496374111026,18.873501956149802
-2.625000000000136,1.2538012273689405,12.76147588518305,20.54506467522122
-2.615000000000136,1.3572960820593436,13.737854429348658,22.09805526413109
-2.6050000000001363,1.4525066295719429,14.615512484804295,23.489030192718985
-2.5950000000001365,1.5369215814684447,15.370286976782925,24.679468417702147
-2.5850000000001367,1.6083831617854634,15.982340075357234,25.637942161750498
-2.575000000000137,1.6652175637807138,16.43737698779596,26.342028318756967
-2.565000000000137,1.706348881185573,16.727630616444312,26.77983165978557
-2.5550000000001374,1.7313885130750415,16.852545183570932,26.9510158810117
-2.5450000000001376,1.7406930367637823,16.819108608890307,26.86726844362834
-2.535000000000138,1.7353849430439352,16.641803288583443,26.552157814110522
-2.525000000000138,1.717332433515345,16.342166018006125,26.04037545293835
-2.5150000000001382,1.6890866862230212,15.94796945514194,25.376388626467204
-2.5050000000001384,1.6537775644808683,15.492059178453879,24.61256304059676
-2.4950000000001387,1.6149715739097237,15.010901376617968,23.806845556972718
-2.485000000000139,1.5764987855712245,14.542915540791792,23.02012558763361
-2.475000000000139,1.5422581846028938,14.126682855252245,22.313417334837943
-2.4650000000001393,1.5160131693267371,13.799132643430422,21.745021520703776
-2.4550000000001395,1.5011904037741743,13.593814504172062,21.367832149894866
-2.4450000000001397,1.5006956526351656,13.539361226248328,21.226949037961045
-2.43500000000014,1.5167594385152678,13.6582364020731,21.35773911425161
-2.42500000000014,1.550823336005798,13.965841025957614,21.784459073554665
-2.4150000000001404,1.603474595813075,14.470026514833231,22.51951067510048
-2.4050000000001406,1.6744328691506762,15.171029858411755,23.56335137679989
-2.395000000000141,1.76258849141749,16.061813159524274,24.905031844803087
-2.385000000000141,1.8660875629606062,17.128758276902587,26.523283683662267
-2.375000000000141,1.9824554092274047,18.352641194643653,28.38804091305017
-2.3650000000001414,2.1087473187829247,19.70979311341362,30.462251837299636
-2.3550000000001416,2.2417140240452516,21.173348071267828,32.70382702647663
-2.345000000000142,2.3779693184413184,22.71448080768125,35.06757512770937
-2.335000000000142,2.5141484265381098,24.303552769055617,37.50699989199454
-2.3250000000001423,2.6470480234013913,25.911106416000244,39.975865761018746
-2.3150000000001425,2.7737417670792346,27.508675027224974,42.42948056530672
-2.3050000000001427,2.891668419775766,29.069403054353725,44.82568632983025
-2.295000000000143,2.998692638315037,30.56849675433367,47.125586775726475
-2.285000000000143,3.093140925045603,31.983542849436944,49.294067608874
-2.2750000000001434,3.173816780899513,33.294741981823144,51.30017954886816
-2.2650000000001436,3.23999968885477,34.48510288464517,53.11745300959255
-2.255000000000144,3.2914322470303827,35.540633289193195,54.7241986418415
-2.245000000000144,3.3282987870013283,36.45054696563725,56.103823146273584
-2.235000000000144,3.351197479694831,37.20748641803838,57.24516010309777
-2.2250000000001444,3.361106609630409,37.80774158652379,58.14278701579938
-2.2150000000001446,3.3593447115541837,38.25143017997659,58.79727792181272
-2.205000000000145,3.347523832123211,38.54259776684014,59.21532994416563
-2.195000000000145,3.3274953792603346,38.68919683448856,59.40970400452031
-2.1850000000001453,3.3012887757984166,38.702913360454566,59.39893402847527
-2.1750000000001455,3.2710442368868624,38.59882514307764,59.2067824712889
-2.1650000000001457,3.2389421630565467,38.39489522959158,58.86144836923463
-2.155000000000146,3.2071325982082657,38.1113228256921,58.394562250273665
-2.145000000000146,3.1776687209540944,37.76978992079268,57.840025461546034
-2.1350000000001463,3.1524483054041506,37.392652262904555,57.23276652554365
-2.1250000000001465,3.133166518561224,37.00212727697672,56.6074926787807
-2.1150000000001468,3.1212824438288718,36.61952935887386,55.99751138571371
-2.105000000000147,3.1180005312522576,36.2645960461224,55.433686470739836
-2.095000000000147,3.1242669838540467,35.95493875587259,54.94357941561208
-2.0850000000001474,3.1407800599215987,35.705640949916926,54.550811033794766
-2.0750000000001476,3.1680124850230666,35.529016092521395,54.27466402070613
-2.065000000000148,3.2062436154080136,35.43452821575154,54.12993347081404
-2.055000000000148,3.255598597786093,35.428869194917354,54.12701995540591
-2.0450000000001483,3.3160914270637254,35.51617844447242,54.272247198143546
-2.0350000000001485,3.387668441066852,35.69838217753999,54.56837293168422
-2.0250000000001487,3.4702484108995932,35.97562058712952,55.01524713393935
-2.015000000000149,3.563755081162748,36.34672297207751,55.610557688429225
-2.005000000000149,3.6681379575314796,36.809684314521654,56.35059190256705
-1.9950000000001493,3.783377534002296,37.362093890977974,57.23093621687809
-1.9850000000001495,3.9094721688482443,38.00146883635609,58.247038642686476
-1.9750000000001497,4.046405527148826,38.725454181072436,59.39457068895928
-1.96500000000015,4.194095830586186,39.531865626462675,60.66954769135326
-1.9550000000001502,4.352330851752716,40.4185707841145,62.06819634939194
-1.9450000000001504,4.52069528490939,41.38322619186897,63.586591865581596
-1.9350000000001506,4.698499370169831,42.4229078496967,65.22011920230098
-1.9250000000001508,4.884719008516374,43.533688980276295,66.9628384089595
-1.915000000000151,5.077957745727901,44.710227564916245,68.80684854278314
-1.9050000000001512,5.27643975745726,45.9454264965684,70.74174612636645
-1.8950000000001515,5.478040372434521,47.2302209557974,72.75426236895652
-1.8850000000001517,5.680356963643635,48.55353227140559,74.82814071909337
-1.8750000000001519,5.880818618285278,49.90240751893669,76.94428650380812
-1.865000000000152,6.0768283679561375,51.26234236999787,79.08118798188576
-1.8550000000001523,6.265927455513572,52.61776409966328,81.21557750400024
-1.8450000000001525,6.445967640069379,53.95263455343878,83.32327622196559
-1.8350000000001527,6.61527532415172,55.25112089898979,85.38014832795976
-1.825000000000153,6.772790643479461,56.498276005878914,87.36308231119091
-1.8150000000001532,6.91816577149349,57.680670522343085,89.25091733913453
-1.8050000000001534,7.051809585531259,58.78692487073883,91.02524198560667
-1.7950000000001536,7.174870374747352,59.80810079637525,92.67100896337016
-1.7850000000001538,7.289154108716063,60.73792774112758,94.17693160431968
-1.775000000000154,7.39698240425029,61.572857705478384,95.53565334190844
-1.7650000000001542,7.501001026805218,62.31196145171766,96.74370754255301
-1.7550000000001544,7.603955723777647,62.956696479862906,97.80130830645678
-1.7450000000001546,7.708456568932727,63.51059054618229,98.7120296882303
-1.7350000000001549,7.816754065123836,63.97889116487033,99.48243793256123
-1.725000000000155,7.930549520249282,64.3682298737404,100.12173671948034
-1.7150000000001553,8.050858567373313,64.68633971083146,100.64146896025922
-1.7050000000001555,8.177940482168893,64.94184668248025,101.05529270870629
-1.6950000000001557,8.311297943862503,65.14413405118462,101.37881798382723
-1.685000000000156,8.449743226446127,65.30325637114794,101.62946219655458
-1.6750000000001561,8.591518806696065,65.42986316661192,101.82626137507975
-1.6650000000001564,8.734454290077602,65.53508421967216,101.98956833387115
-1.6550000000001566,8.876138345817544,65.63033221201657,102.14058054396719
-1.6450000000001568,9.014084480191366,65.72699413621233,102.3006692372931
-1.635000000000157,9.145872840943172,65.83600795411424,102.49052270491505
-1.6250000000001572,9.269256134136437,65.967350583435,102.72916294453691
-1.6150000000001574,9.382224998489843,66.12949116794998,103.0329360166986
-1.6050000000001576,9.483035451243195,66.32888336063745,103.4146031014707
-1.5950000000001578,9.570206975567219,66.56957697048942,103.88266405980659
-1.585000000000158,9.642503456532767,66.85302025139988,104.44102513004529
-1.5750000000001583,9.698909988602411,67.17809999005867,105.0890790692502
-1.5650000000001585,9.738616656146815,67.54143120176758,105.82220628355958
-1.5550000000001587,9.761016355484147,67.93786796702295,106.63263964851569
-1.545000000000159,9.765718594281388,68.3611692647908,107.51057582362601
-1.5350000000001591,9.75257613857639,68.80472581695297,108.44537321227922
-1.5250000000001593,9.721717447963817,69.2622414359426,109.42665962851852
-1.5150000000001596,9.673575798297813,69.72826780193981,110.4451849062017
-1.5050000000001598,9.608906137631648,70.19851427790836,111.49329349905148
-1.49500000000016,9.528782869266646,70.66989042165709,112.56495297507246
-1.4850000000001602,9.434575310621444,71.1402820225202,113.65534593986044
-1.4750000000001604,9.327901692134898,71.60810437918263,114.76010335115717
-1.4650000000001606,9.210566340058053,72.07171199395039,115.87431491210836
-1.4550000000001608,9.08448737869651,72.52876625592319,116.99148822850546
-1.445000000000161,8.951623430648748,72.97566882410942,118.10263756907413
-1.4350000000001613,8.813907288847064,73.40715794892104,119.19566481507233
-1.4250000000001615,8.673192630196356,73.81614024823008,120.2551533255641
