Energy_eV,Cl,Hg,Se
-6.375000000000056,6.412676508463313e-23,2.0947334095738128e-22,7.499949901406815e-22
-6.365000000000056,1.7927256528252266e-23,5.856032522027897e-23,2.0966849903335497e-22
-6.355000000000056,4.934038387183702e-24,1.6117303744535634e-23,5.7706163277074e-23
-6.345000000000057,1.3369199535317918e-24,4.3671236792610496e-24,1.5635990737515025e-23
-6.335000000000057,3.566337798422543e-25,1.1649647450806527e-24,4.171025058404182e-24
-6.325000000000057,9.365991042380879e-26,3.0594563682889028e-25,1.0954041544179667e-24
-6.315000000000057,2.4215820560161555e-26,7.91024501184944e-26,2.8321754810129014e-25
-6.3050000000000574,6.163946090698282e-27,2.0134914849297266e-26,7.209084629152642e-26
-6.295000000000058,1.5446591590261605e-27,5.045728162768157e-27,1.8065678586889488e-26
-6.285000000000058,3.810839746892104e-28,1.2448358628587955e-27,4.4569999062716776e-27
-6.275000000000058,9.255990469973437e-29,3.023531684159199e-28,1.0825430119183427e-27
-6.265000000000058,2.2132949930567035e-29,7.229880960612817e-29,2.58858176241622e-28
-6.2550000000000585,5.210385955492204e-30,1.7020094210609703e-29,6.093864644106096e-29
-6.245000000000059,1.2075765691645287e-30,3.944636263227984e-30,1.4123356128270196e-29
-6.235000000000059,2.7553301924555205e-31,9.000490054582553e-31,3.222531766865678e-30
-6.225000000000059,6.189375262576363e-32,2.0218062747888645e-31,7.238868617906722e-31
-6.215000000000059,1.3687816321132313e-32,4.471231065594638e-32,1.6008784998316437e-31
-6.20500000000006,2.9801334546279493e-33,9.73484135295087e-33,3.4854610976000654e-32
-6.19500000000006,6.3878020173214816e-34,2.0866270487728626e-33,7.470958051161746e-33
-6.18500000000006,1.3479735540126791e-34,4.40326656516463e-34,1.5765456343848867e-33
-6.17500000000006,2.8004349345364594e-35,9.147855854167528e-35,3.275299243875807e-34
-6.16500000000006,5.727746542352733e-36,1.8710174502635404e-35,6.698994387308608e-35
-6.155000000000061,1.1533371658073786e-36,3.767476514020639e-36,1.348908319421644e-35
-6.145000000000061,2.2863513627797132e-37,7.468570064764973e-37,2.6740495027589647e-36
-6.135000000000061,4.4621467461611046e-38,1.4576006584582356e-37,5.21879986738201e-37
-6.125000000000061,8.573515058278658e-39,2.8006177845147986e-38,1.002734674061962e-37
-6.1150000000000615,1.6217659259143155e-39,5.2976506930729503e-39,1.8967741113230095e-38
-6.105000000000062,3.0201715916928685e-40,9.865679127744278e-40,3.532314664171485e-39
-6.095000000000062,5.537187823925157e-41,1.8087762369801319e-40,6.476156653094001e-40
-6.085000000000062,9.994500235427007e-42,3.2648023288072497e-41,1.1689326706610936e-40
-6.075000000000062,1.7760169249733207e-42,5.801537845478729e-42,2.0771881617314994e-41
-6.065000000000063,3.107043317412986e-43,1.014947453039104e-42,3.633928441243065e-42
